arm,run,catalyst,status,feasible,U_onset,eta,limiting_step,dG_chem_max,pathway,n_pathways
deepseek-v3,10766639,Pt(111)_HER,ok,True,0.1457,-0.1457,*H → *H2,0.3594,* → *H → *H2 → *,2
deepseek-v3,10766639,Au(110)_CO2RR,ok,True,-0.5424,0.4384,*CO2 → *CHO2,0.2691,*CO2 → *CHO2 → *CH2O2 → *CHO → *CO → *,12
deepseek-v3,10766639,Pt(111)_ORR,ok,True,0.2653,0.9647,*O → *OH,-0.0329,*OO → *OOH → *OOH2 → *O → *OH → *H2O → *,1
deepseek-v3,10766639,Au(111)_ORR,infeasible,False,-999.0,999.0,*OOH → *OOHOH,-0.1631,*OO → *OOH → *OOHOH → *O → *OH → *HOH → *,10
deepseek-v3,10766641,Pt(111)_HER,ok,True,0.1458,-0.1458,*H → *H2,0.3594,* → *H → *H2 → *,2
deepseek-v3,10766641,Au(110)_CO2RR,ok,True,-0.7643,0.6603,*CO2 → *COOH,0.2601,*CO2 → *COOH → *CO → *,3
deepseek-v3,10766641,Au(111)_ORR,ok,True,0.568,0.662,*OO → *OOH,-0.171,*OO → *OOH → *O → *OH → *OH2 → *,9
deepseek-v3,10766641,Pt(111)_ORR,ok,True,0.2652,0.9648,*O → *OH,-0.0332,*OO → *OOH → *O → *OH → *H2O → *,23
deepseek-v3,10766642,Pt(111)_HER,ok,True,0.1458,-0.1458,*H → *H2,0.3594,* → *H → *H2 → *,2
deepseek-v3,10766642,Au(111)_ORR,ok,True,0.616,0.614,*OO → *OOH,-0.1687,*OO → *OOH → *O → *OH → *HOH → *,8
deepseek-v3,10766642,Au(110)_CO2RR,ok,True,-0.741,0.637,*CO2 → *COOH,0.2525,*CO2 → *COOH → *CO → *,6
deepseek-v3,10766642,Pt(111)_ORR,ok,True,0.3154,0.9146,*OO → *OOH,0.0103,*OO → *OOH → *O(OH)H → *OH → *H2O → *,24
deepseek-v3,10766643,Pt(111)_HER,ok,True,0.1458,-0.1458,*H → *H2,0.3594,* → *H → *H2 → *,5
deepseek-v3,10766643,Au(110)_CO2RR,ok,True,-0.5509,0.4469,*CO2 → *CHO2,0.2562,*CO2 → *CHO2 → *CO → *,20
