arm,run,catalyst,pathway,is_best,step_idx,parent,product,rule,n_electrons,delta_e,delta_zpe,delta_ts,dG0,U_onset,feasible,pathway_idx
deepseek-v3,10766639,Pt(111)_HER,* → *H → *,False,0,*,*H,protonation,-1,-0.4332,0.047,-0.1726,-0.2137,-999.0,False,0
deepseek-v3,10766639,Pt(111)_HER,* → *H → *,False,1,*H,*,deprotonation,1,0.4332,-0.047,0.1726,0.2137,-999.0,False,0
deepseek-v3,10766639,Pt(111)_HER,* → *H → *H2 → *,True,0,*,*H,protonation,-1,-0.4332,0.047,-0.1726,-0.2137,0.1457,True,1
deepseek-v3,10766639,Pt(111)_HER,* → *H → *H2 → *,True,1,*H,*H2,protonation,-1,-0.3271,-0.0099,-0.1913,-0.1457,0.1457,True,1
deepseek-v3,10766639,Pt(111)_HER,* → *H → *H2 → *,True,2,*H2,*,product_desorption,0,0.7603,-0.037,0.3638,0.3594,0.1457,True,1
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *COOH → *CO → *,False,0,*CO2,*COOH,protonation,-1,0.3044,0.1531,-0.3098,0.7673,-0.7673,True,0
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *COOH → *CO → *,False,1,*COOH,*CO,reductive_dehydration,-1,-0.1388,0.0118,0.3653,-0.4923,-0.7673,True,0
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *COOH → *CO → *,False,2,*CO,*,desorption,0,0.7533,-0.0552,0.438,0.2602,-0.7673,True,0
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *COOH → *COHOH → *CO → *,False,0,*CO2,*COOH,protonation,-1,0.3044,0.1531,-0.3098,0.7673,-0.7673,True,1
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *COOH → *COHOH → *CO → *,False,1,*COOH,*COHOH,protonation,-1,0.0279,0.1525,-0.1269,0.3073,-0.7673,True,1
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *COOH → *COHOH → *CO → *,False,2,*COHOH,*CO,bond_dissociation,0,-0.1667,-0.1407,0.4922,-0.7995,-0.7673,True,1
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *COOH → *COHOH → *CO → *,False,3,*CO,*,desorption,0,0.7533,-0.0552,0.438,0.2602,-0.7673,True,1
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *COOH → *COOH2 → *CO → *,False,0,*CO2,*COOH,protonation,-1,0.3044,0.1531,-0.3098,0.7673,-0.7673,True,2
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *COOH → *COOH2 → *CO → *,False,1,*COOH,*COOH2,protonation,-1,-0.6002,0.1555,-0.0538,-0.3909,-0.7673,True,2
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *COOH → *COOH2 → *CO → *,False,2,*COOH2,*CO,bond_dissociation,0,0.4614,-0.1436,0.4191,-0.1013,-0.7673,True,2
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *COOH → *COOH2 → *CO → *,False,3,*CO,*,desorption,0,0.7533,-0.0552,0.438,0.2602,-0.7673,True,2
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *COOH → *COHOH → *COH → *CO → *,False,0,*CO2,*COOH,protonation,-1,0.3044,0.1531,-0.3098,0.7673,-0.7673,True,3
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *COOH → *COHOH → *COH → *CO → *,False,1,*COOH,*COHOH,protonation,-1,0.0279,0.1525,-0.1269,0.3073,-0.7673,True,3
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *COOH → *COHOH → *COH → *CO → *,False,2,*COHOH,*COH,bond_dissociation,0,0.9037,0.0326,0.1912,0.7451,-0.7673,True,3
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *COOH → *COHOH → *COH → *CO → *,False,3,*COH,*CO,bond_dissociation,0,-1.0704,-0.1732,0.301,-1.5446,-0.7673,True,3
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *COOH → *COHOH → *COH → *CO → *,False,4,*CO,*,desorption,0,0.7533,-0.0552,0.438,0.2602,-0.7673,True,3
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *COOH → *CH2O2 → *CHO → *CO → *,False,0,*CO2,*COOH,protonation,-1,0.3044,0.1531,-0.3098,0.7673,-0.7673,True,4
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *COOH → *CH2O2 → *CHO → *CO → *,False,1,*COOH,*CH2O2,protonation,-1,-0.6093,0.1534,-0.1293,-0.3265,-0.7673,True,4
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *COOH → *CH2O2 → *CHO → *CO → *,False,2,*CH2O2,*CHO,bond_dissociation,0,0.6244,-0.0229,0.3324,0.2691,-0.7673,True,4
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *COOH → *CH2O2 → *CHO → *CO → *,False,3,*CHO,*CO,bond_dissociation,0,-0.154,-0.1187,0.1622,-0.4348,-0.7673,True,4
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *COOH → *CH2O2 → *CHO → *CO → *,False,4,*CO,*,desorption,0,0.7533,-0.0552,0.438,0.2602,-0.7673,True,4
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *CHO2 → *CH2O2 → *CHO → *CO → *,True,0,*CO2,*CHO2,protonation,-1,0.1644,0.1461,-0.232,0.5424,-0.5424,True,5
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *CHO2 → *CH2O2 → *CHO → *CO → *,True,1,*CHO2,*CH2O2,protonation,-1,-0.4693,0.1605,-0.2072,-0.1016,-0.5424,True,5
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *CHO2 → *CH2O2 → *CHO → *CO → *,True,2,*CH2O2,*CHO,bond_dissociation,0,0.6244,-0.0229,0.3324,0.2691,-0.5424,True,5
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *CHO2 → *CH2O2 → *CHO → *CO → *,True,3,*CHO,*CO,bond_dissociation,0,-0.154,-0.1187,0.1622,-0.4348,-0.5424,True,5
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *CHO2 → *CH2O2 → *CHO → *CO → *,True,4,*CO,*,desorption,0,0.7533,-0.0552,0.438,0.2602,-0.5424,True,5
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *CHO2 → *CH2O2 → *COOH → *CO → *,False,0,*CO2,*CHO2,protonation,-1,0.1644,0.1461,-0.232,0.5424,-0.5424,True,6
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *CHO2 → *CH2O2 → *COOH → *CO → *,False,1,*CHO2,*CH2O2,protonation,-1,-0.4693,0.1605,-0.2072,-0.1016,-0.5424,True,6
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *CHO2 → *CH2O2 → *COOH → *CO → *,False,2,*CH2O2,*COOH,bond_dissociation,0,0.6093,-0.1534,0.1293,0.3265,-0.5424,True,6
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *CHO2 → *CH2O2 → *COOH → *CO → *,False,3,*COOH,*CO,bond_dissociation,0,-0.1388,0.0118,0.3653,-0.4923,-0.5424,True,6
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *CHO2 → *CH2O2 → *COOH → *CO → *,False,4,*CO,*,desorption,0,0.7533,-0.0552,0.438,0.2602,-0.5424,True,6
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *CHO2 → *CHO2H → *CHO → *CO → *,False,0,*CO2,*CHO2,protonation,-1,0.1644,0.1461,-0.232,0.5424,-0.5424,True,7
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *CHO2 → *CHO2H → *CHO → *CO → *,False,1,*CHO2,*CHO2H,protonation,-1,-0.4674,0.1631,-0.1322,-0.1721,-0.5424,True,7
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *CHO2 → *CHO2H → *CHO → *CO → *,False,2,*CHO2H,*CHO,bond_dissociation,0,0.6225,-0.0255,0.2574,0.3396,-0.5424,True,7
deepseek-v3,10766639,Au(110)_CO2RR,*CO2 → *CHO2 → *CHO2H → *CHO → *CO → *,False,3,*CHO,*CO,bond_dissociation,0,-0.154,-0.1187,0.1622,-0.4348,-0.5424,True,7
